datetime,symbol,name,open,high,low,close,volume
2026-09-09 10:29:00,005930,삼성전자,273500,273500,273000,273250,9016
2026-09-09 10:30:00,005930,삼성전자,273250,273500,272500,273250,126842
2026-09-09 10:31:00,005930,삼성전자,273000,273250,273000,273250,29124
2026-09-09 10:32:00,005930,삼성전자,273000,273500,273000,273250,28179
2026-09-09 10:33:00,005930,삼성전자,273000,273500,273000,273500,16473
2026-09-09 10:34:00,005930,삼성전자,273250,274000,273000,273750,117285
2026-09-09 10:35:00,005930,삼성전자,273500,274000,273000,273250,34291
2026-09-09 10:36:00,005930,삼성전자,273500,273500,273000,273000,6274
2026-09-09 10:37:00,005930,삼성전자,273500,273500,273000,273000,5859
2026-09-09 10:38:00,005930,삼성전자,273000,273250,273000,273250,16033
2026-09-09 10:39:00,005930,삼성전자,273250,273250,273000,273250,12248
2026-09-09 10:40:00,005930,삼성전자,273000,273500,273000,273250,21625
2026-09-09 10:41:00,005930,삼성전자,273000,273250,273000,273250,10842
2026-09-09 10:42:00,005930,삼성전자,273000,273250,273000,273000,13471
2026-09-09 10:43:00,005930,삼성전자,273250,273250,273000,273250,10832
2026-09-09 10:44:00,005930,삼성전자,273000,273250,272500,272500,64984
2026-09-09 10:45:00,005930,삼성전자,272500,273000,272000,272750,81084
2026-09-09 10:46:00,005930,삼성전자,272500,272750,272000,272500,26972
2026-09-09 10:47:00,005930,삼성전자,272250,272500,272000,272000,23958
2026-09-09 10:48:00,005930,삼성전자,272000,272500,272000,272000,8169
2026-09-09 10:49:00,005930,삼성전자,272250,273000,272000,273000,28785
2026-09-09 10:50:00,005930,삼성전자,272750,273000,272500,273000,15557
2026-09-09 10:51:00,005930,삼성전자,273000,273000,272000,272250,61688
2026-09-09 10:52:00,005930,삼성전자,272250,272250,271500,272000,62000
2026-09-09 10:53:00,005930,삼성전자,271750,272500,271500,272250,41717
2026-09-09 10:54:00,005930,삼성전자,272250,272250,272000,272250,24245
2026-09-09 10:55:00,005930,삼성전자,272000,272250,272000,272250,14143
2026-09-09 10:56:00,005930,삼성전자,272250,273000,272000,272500,39438
2026-09-09 10:57:00,005930,삼성전자,272500,272750,272500,272500,10248
2026-09-09 10:58:00,005930,삼성전자,272750,272750,272500,272750,6376
2026-09-09 10:59:00,005930,삼성전자,272500,273000,272500,272750,11173
2026-09-09 11:00:00,005930,삼성전자,273000,273500,272500,273000,81139
2026-09-09 11:01:00,005930,삼성전자,273250,274000,273000,273500,105828
2026-09-09 11:02:00,005930,삼성전자,273500,274000,273000,273750,38607
2026-09-09 11:03:00,005930,삼성전자,273500,274000,273000,273500,75254
2026-09-09 11:04:00,005930,삼성전자,273750,274000,273000,273500,40730
2026-09-09 11:05:00,005930,삼성전자,273500,273750,273000,273000,22546
2026-09-09 11:06:00,005930,삼성전자,273250,274000,273000,273500,35860
2026-09-09 11:07:00,005930,삼성전자,273500,273500,273000,273000,8956
2026-09-09 11:08:00,005930,삼성전자,273000,274000,273000,273750,27835
2026-09-09 11:09:00,005930,삼성전자,273750,274000,273500,273500,20095
2026-09-09 11:10:00,005930,삼성전자,273750,274500,273500,274250,189492
2026-09-09 11:11:00,005930,삼성전자,274250,274250,273500,273750,56235
2026-09-09 11:12:00,005930,삼성전자,273500,274000,273500,273750,13522
2026-09-09 11:13:00,005930,삼성전자,274000,274000,273500,273750,5955
2026-09-09 11:14:00,005930,삼성전자,273750,273750,273500,273750,22081
2026-09-09 11:15:00,005930,삼성전자,273500,274000,273000,273250,63134
